Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,HTTP Cookie,ab_sr, Tracks AB testing session results.,TrustArc, A Chinese multinational technology company specializing in internet-related services and products.,0
beacon.cdn.qq.com,Functional Cookies,Performance Cookies [Requires consent],Tencent - QQ.com,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," A major Chinese internet company offering a variety of services, including social media and gaming.",
beacon.cdn.qq.com,Functional Cookies,Performance Cookies [Requires consent],Tencent - QQ.com,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," A major Chinese internet company offering a variety of services, including social media and gaming.",
cdn-au.clickdimensions.com,Functional Cookies,Performance Cookies [Requires consent],ClickDimensions,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A marketing automation solution for Microsoft Dynamics.,
chat56.live800.com,Functional Cookies,Performance Cookies [Requires consent],Live800,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides live chat and customer service solutions.,
chat56.live800.com,Functional Cookies,Performance Cookies [Requires consent],Live800,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides live chat and customer service solutions.,
chat56.live800.com,Functional Cookies,Performance Cookies [Requires consent],Live800,HTTP Cookie,JSESSIONID,JSESSIONID is a cookie generated by Servlet containers and used for session management in J2EE web applications for HTTP protocol.,TrustArc , Provides live chat and customer service solutions.,session
code.delivery-portal.demant.com,Functional Cookies,Performance Cookies [Requires consent],Demant,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A company specializing in hearing aids and audiology services.,
content.delivery-portal.demant.com,Functional Cookies,Performance Cookies [Requires consent],Demant,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A company specializing in hearing aids and audiology services.,
delivery.twentythree.com,Functional Cookies,Performance Cookies [Requires consent],TwentyThree,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A video marketing platform.,
dlswbr.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
dlswbr.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
gsp0.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
hm.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, A Chinese multinational technology company specializing in internet-related services and products.,
hm.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
hm.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,HTTP Cookie,HMACCOUNT_BFESS,Statistics and analysis of using data,TrustArc , A Chinese multinational technology company specializing in internet-related services and products.,5102
hmcdn.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
hmcdn.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
login.cn.janrain.biz,Functional Cookies,Performance Cookies [Requires consent],Akamai,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
login.cn.janrain.biz,Functional Cookies,Performance Cookies [Requires consent],Akamai,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
maponline0.bdimg.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
maponline1.bdimg.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
maponline2.bdimg.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
maponline3.bdimg.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Chinese multinational technology company specializing in internet-related services and products.,
miao.baidu.com,Functional Cookies,Performance Cookies [Requires consent],Baidu,HTTP Cookie,ab_bid, Tracks AB testing bucket identifier.,TrustArc, A Chinese multinational technology company specializing in internet-related services and products.,24855
CLIENT_X-shop-uat.oss-cn-shanghai.aliyuncs.com,Functional Cookies,Performance Cookies [Requires consent],Alibaba Cloud,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," The cloud computing division of Alibaba Group, offering a wide range of cloud services.",
CLIENT_X-shop.oss-cn-shanghai.aliyuncs.com,Functional Cookies,Performance Cookies [Requires consent],Alibaba Cloud,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," The cloud computing division of Alibaba Group, offering a wide range of cloud services.",
CLIENT_X-video.oss-cn-shanghai.aliyuncs.com,Functional Cookies,Performance Cookies [Requires consent],Alibaba Cloud,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," The cloud computing division of Alibaba Group, offering a wide range of cloud services.",
CLIENT_X.112.2o7.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,HTTP Cookie,s_vi,This cookie is used to identify a unique visitor.,FR Original,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",729
player.youku.com,Functional Cookies,Performance Cookies [Requires consent],Youku.com,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A Chinese video hosting service.,
policy.app.cookieinformation.com,Functional Cookies,Performance Cookies [Requires consent],Cookie Information A/S,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides solutions for managing cookie consent and data privacy.,
policy.app.cookieinformation.com,Functional Cookies,Performance Cookies [Requires consent],Cookie Information A/S,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides solutions for managing cookie consent and data privacy.,
policy.cookieinformation.com,Functional Cookies,Performance Cookies [Requires consent],Cookie Information A/S,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides solutions for managing cookie consent and data privacy.,
policy.cookieinformation.com,Functional Cookies,Performance Cookies [Requires consent],Cookie Information A/S,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides solutions for managing cookie consent and data privacy.,
puui.qpic.cn,Functional Cookies,Performance Cookies [Requires consent],Tencent,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," A Chinese multinational conglomerate holding company specializing in various internet-related services and products, entertainment, AI, and technology globally.",
report.23video.com,Functional Cookies,Performance Cookies [Requires consent],TwentyThree,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A video marketing platform.,
res.wx.qq.com,Functional Cookies,Performance Cookies [Requires consent],Tencent - QQ.com,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," A major Chinese internet company offering a variety of services, including social media and gaming.",
static.hotjar.com,Functional Cookies,Performance Cookies [Requires consent],Hotjar,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A behavior analytics and user feedback service that helps website owners understand how users interact with their sites.,
static.hotjar.com,Functional Cookies,Performance Cookies [Requires consent],Hotjar,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A behavior analytics and user feedback service that helps website owners understand how users interact with their sites.,
vm.gtimg.cn,Functional Cookies,Performance Cookies [Requires consent],Tencent,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," A Chinese multinational conglomerate holding company specializing in various internet-related services and products, entertainment, AI, and technology globally.",
vm.gtimg.cn,Functional Cookies,Performance Cookies [Requires consent],Tencent,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," A Chinese multinational conglomerate holding company specializing in various internet-related services and products, entertainment, AI, and technology globally.",
w.usabilla.com,Functional Cookies,Performance Cookies [Requires consent],GetFeedback,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Offers customer feedback tools to gather insights and improve customer experiences.,
wdh-fonts.azureedge.net,Functional Cookies,Performance Cookies [Requires consent],Microsoft,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
wdh.23video.com,Functional Cookies,Performance Cookies [Requires consent],TwentyThree,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A video marketing platform.,
wdh01.azureedge.net,Functional Cookies,Performance Cookies [Requires consent],Microsoft,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
www.CLIENT_X.hearingsolutions.com.cn,Functional Cookies,Performance Cookies [Requires consent],CLIENT_X - China,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Chinese branch of CLIENT_X, focusing on healthcare, consumer lifestyle, and lighting.",
www.CLIENT_X.hearingsolutions.com.cn,Functional Cookies,Performance Cookies [Requires consent],CLIENT_X - China,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," Chinese branch of CLIENT_X, focusing on healthcare, consumer lifestyle, and lighting.",
www.results.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
signify.blueconic.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],BlueConic,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
<!-- q714.millerlite.com, q714.esjosetime.com, q714.digitalbeerpromo.com this trackers belongs to BlueConic per TAM -->
BlueConic is a simple and accessible customer data platform, built for marketers to harness the data required, the recognition of an individual at each interaction, and then synchronize their intent across the marketing ecosystem. 
<br><a href=https://www.blueconic.com/blueconic-terms-and-conditions/ target=_blank aria-label=""BlueConic Terms and Conditions"">Terms and Conditions</a>
<br>",
signify.blueconic.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],BlueConic,HTTP Cookie,AWSALBCORS,This cookie is managed by AWS and is used for load balancing.,TrustArc ,"
<!-- q714.millerlite.com, q714.esjosetime.com, q714.digitalbeerpromo.com this trackers belongs to BlueConic per TAM -->
BlueConic is a simple and accessible customer data platform, built for marketers to harness the data required, the recognition of an individual at each interaction, and then synchronize their intent across the marketing ecosystem. 
<br><a href=https://www.blueconic.com/blueconic-terms-and-conditions/ target=_blank aria-label=""BlueConic Terms and Conditions"">Terms and Conditions</a>
<br>",6
638025492209336.webpush.freshchat.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
638025492209336.webpush.freshchat.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
assetscdn-wchat.freshchat.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
assetscdn-wchat.freshchat.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
cdn.blueconic.net,Functional Cookies,Performance Cookies [Requires consent],BlueConic,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
<!-- q714.millerlite.com, q714.esjosetime.com, q714.digitalbeerpromo.com this trackers belongs to BlueConic per TAM -->
BlueConic is a simple and accessible customer data platform, built for marketers to harness the data required, the recognition of an individual at each interaction, and then synchronize their intent across the marketing ecosystem. 
<br><a href=https://www.blueconic.com/blueconic-terms-and-conditions/ target=_blank aria-label=""BlueConic Terms and Conditions"">Terms and Conditions</a>
<br>",
cdn.blueconic.net,Functional Cookies,Performance Cookies [Requires consent],BlueConic,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
<!-- q714.millerlite.com, q714.esjosetime.com, q714.digitalbeerpromo.com this trackers belongs to BlueConic per TAM -->
BlueConic is a simple and accessible customer data platform, built for marketers to harness the data required, the recognition of an individual at each interaction, and then synchronize their intent across the marketing ecosystem. 
<br><a href=https://www.blueconic.com/blueconic-terms-and-conditions/ target=_blank aria-label=""BlueConic Terms and Conditions"">Terms and Conditions</a>
<br>",
CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,HTTP Cookie,_hjSession_2865555, Tracks session data for Hotjar analytics.,TrustArc,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",0
CLIENT_Xco.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
CLIENT_Xco.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
CLIENT_Xlighting.d3.sc.omtrdc.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",
rts-static-prod.freshworksapi.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
wchat.freshchat.com,Functional Cookies,Performance Cookies [Requires consent],Freshworks,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides customer engagement software, including CRM, IT service management, and marketing automation.",
www.healthtechproducts.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,HTTP Cookie,ELOQUA,This cookie is set by Eloqua and is used by PwC to track individual visitors and their use of the site. It is set when you first visit the site and updated on subsequent visits.,TrustArc ,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",396
www.lampreplacementtool.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.lampreplacementtool.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.CLIENT_X-hue.com,Functional Cookies,Essential cookies (exempt from consent),CLIENT_X Hue,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"CLIENT_X Hue offers a range of smart light bulbs, lamps, fixtures and accessories.
<br><a href=https://www.CLIENT_X-hue.com/en-ph/support/legal/terms-conditions target=_blank aria-label=""CLIENT_X Hue Terms and Conditions"">Terms and Conditions</a>
<br>",
www.photometrics.lighting.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.photometrics.lighting.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.realpro.lighting.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.realpro.lighting.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.realpro.lighting.CLIENT_X.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,HTTP Cookie,_hjCookieTest,testing purposes,TrustArc,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",session
c.seznam.cz,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Seznam.cz, a.s.",Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,, A Czech web portal and search engine.,
c.seznam.cz,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Seznam.cz, a.s.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A Czech web portal and search engine.,
c.seznam.cz,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Seznam.cz, a.s.",ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Czech web portal and search engine.,
seznam.cz,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Seznam.cz, a.s.",HTTP Cookie,sid,"Download certain Google Tools and save certain preferences, for example the number of search results per page or activation of the SafeSearch Filter. Adjusts the ads that appear in Google Search.",TrustArc , A Czech web portal and search engine.,29
amazon-adsystem.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Amazon Advertising,HTTP Cookie,ad-id,Amazon cookie used as part of its affiliate marketing programme.,TrustArc ,"Amazon Advertising is a division of Amazon that provides advertising solutions for businesses looking to promote their products and reach customers on Amazon's various online platforms. Amazon Advertising offers a range of ad formats and targeting options to help businesses increase visibility, drive traffic, and boost sales on the Amazon marketplace.",242
bat.bing.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Microsoft Advertising,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," The advertising division of Microsoft, offering ad solutions across its platforms.",
bat.bing.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Microsoft Advertising,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," The advertising division of Microsoft, offering ad solutions across its platforms.",
analytics-eu.cloud.coveo.com,Functional Cookies,Performance Cookies [Requires consent],Coveo Solutions Inc.,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",
cdn.tt.omtrdc.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",
cdn.tt.omtrdc.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",
halc.iadvize.com,Functional Cookies,Performance Cookies [Requires consent],iAdvize,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"iAdvize is a conversational marketing platform that connects customers in need of advice with experts who are available 24/7 via messaging.
<br><a href=https://www.iadvize.com/en/terms-and-conditions/ target=_blank aria-label=""iAdvize Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://privacy.iadvize.com/en/ target=_blank aria-label=ï¿½iAdvize Data Subject Rights"">Data Subject Rights</a>
<br>",
halc.iadvize.com,Functional Cookies,Performance Cookies [Requires consent],iAdvize,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"iAdvize is a conversational marketing platform that connects customers in need of advice with experts who are available 24/7 via messaging.
<br><a href=https://www.iadvize.com/en/terms-and-conditions/ target=_blank aria-label=""iAdvize Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://privacy.iadvize.com/en/ target=_blank aria-label=ï¿½iAdvize Data Subject Rights"">Data Subject Rights</a>
<br>",
CLIENT_X.cdn.prismic.io,Functional Cookies,Performance Cookies [Requires consent],Prismic,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Prismic simplifies editing content on the internet and to make work enjoyable for developers, marketers, and content teams.
<br><a href=https://prismic.io/legal/terms-of-service target=_blank aria-label=""Prismic Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://prismic.io/legal/privacy target=_blank aria-label=""Prismic Data Subject Rights"">Data Subject Rights</a>
<br>",
